cnt	max(occid)	catalogNumber
3	32249245	10BBCHEM-1341
3	32275531	10BBCHEM-1344
3	32257479	10BBCHEM-1352
3	32275906	10BBCHEM-1373
3	32551840	10BBCHEM-1376
3	32352728	10BBCHY-0012
3	32474247	10BBCHY-0053
3	32474248	10BBCHY-0057
3	32352735	10BBCHY-0065
3	32298144	10BBCHY-0084
3	32283846	10BBCHY-0091
3	32284191	10BBCHY-0096
3	32285612	10BBCHY-0099
3	32308985	10BBCHY-0125
3	32298145	10BBCHY-0126
3	32298146	10BBCHY-0127
3	32283450	10BBCHY-0128
3	32326527	10BBCHY-0129
3	32297165	10BBCHY-0135
3	32326532	10BBCHY-0138
3	32347029	10BBCHY-0141
3	32285615	10BBCHY-0144
3	32312030	10BBCHY-0146
3	32326534	10BBCHY-0147
3	32326536	10BBCHY-0149
3	32325388	10BBCHY-0154
3	32325389	10BBCHY-0155
3	32323712	10BBCHY-0161
3	32297654	10BBCHY-0172
3	32297655	10BBCHY-0173
3	32297656	10BBCHY-0174
3	32297657	10BBCHY-0175
3	32297658	10BBCHY-0176
3	32283193	10BBCHY-0185
3	32321310	10BBCHY-0186
3	32326550	10BBCHY-0187
3	32321924	10BBCHY-0193
3	32326555	10BBCHY-0194
3	32285617	10BBCHY-0200
3	32369244	10BBCHY-0221
3	32283847	10BBCHY-0226
3	32285619	10BBCHY-0227
3	32285620	10BBCHY-0229
3	32285621	10BBCHY-0231
3	32349685	10BBCHY-0243
3	32349686	10BBCHY-0246
3	32285623	10BBCHY-0252
3	32285624	10BBCHY-0268
3	32369248	10BBCHY-0277
3	32369215	10BBCHY-0278
3	32372528	10BBCHY-0279
3	32308861	10BBCHY-0281
3	32326560	10BBCHY-0282
3	32325858	10BBCHY-0283
3	32285625	10BBCHY-0285
3	32326561	10BBCHY-0286
3	32308862	10BBCHY-0287
3	32324163	10BBCHY-0292
3	32321322	10BBCHY-0296
3	32321323	10BBCHY-0297
3	32326565	10BBCHY-0304
3	32371427	10BBCHY-0309
3	32371452	10BBCHY-0310
3	32370824	10BBCHY-0311
3	32370825	10BBCHY-0312
3	32297378	10BBCHY-0313
3	32297513	10BBCHY-0315
3	32326574	10BBCHY-0322
3	32373946	10BBCHY-0325
3	32321324	10BBCHY-0326
3	32321057	10BBCHY-0328
3	32321326	10BBCHY-0330
3	32321327	10BBCHY-0331
3	32321328	10BBCHY-0332
3	32321329	10BBCHY-0333
3	32321289	10BBCHY-0334
3	32321330	10BBCHY-0337
3	32321331	10BBCHY-0338
3	32316105	10BBCHY-0340
3	32323925	10BBCHY-0341
3	32326575	10BBCHY-0342
3	32322972	10BBCHY-0343
3	32320955	10BBCHY-0347
3	32285628	10BBCHY-0348
3	32321311	10BBCHY-0350
3	32322219	10BBCHY-0352
3	32323713	10BBCHY-0354
3	32326581	10BBCHY-0356
3	32326582	10BBCHY-0357
3	32283814	10BBCHY-0358
3	32297248	10BBCHY-0362
3	32373477	10BBCHY-0365
3	32321334	10BBCHY-0367
3	32326586	10BBCHY-0368
3	32325464	10BBCHY-0372
3	32323714	10BBCHY-0374
3	32326589	10BBCHY-0376
3	32326590	10BBCHY-0378
3	32325859	10BBCHY-0379
3	32325860	10BBCHY-0380
3	32326593	10BBCHY-0383
3	32326594	10BBCHY-0384
3	32326595	10BBCHY-0385
3	32297462	10BBCHY-0387
3	32326597	10BBCHY-0394
3	32321868	10BBCHY-0399
3	32285631	10BBCHY-0406
3	32308895	10BBCHY-0411
3	32326601	10BBCHY-0422
3	32285638	10BBCHY-0432
3	32285639	10BBCHY-0433
3	32298147	10BBCHY-0453
3	32326604	10BBCHY-0458
3	32283848	10BBCHY-0466
3	32285640	10BBCHY-0467
3	32284192	10BBCHY-0470
3	32284193	10BBCHY-0472
3	32305882	10BBCHY-0482
3	32370951	10BBCHY-0485
3	32370952	10BBCHY-0486
3	32323813	10BBCHY-0488
3	32326612	10BBCHY-0491
3	32297166	10BBCHY-0496
3	32297167	10BBCHY-0497
3	32326617	10BBCHY-0498
3	32321623	10BBCHY-0499
3	32326622	10BBCHY-0505
3	32326623	10BBCHY-0506
3	32326624	10BBCHY-0507
3	32325822	10BBCHY-0508
3	32326625	10BBCHY-0511
3	32326626	10BBCHY-0512
3	32370826	10BBCHY-0515
3	32297659	10BBCHY-0516
3	32322395	10BBCHY-0517
3	32326629	10BBCHY-0519
3	32371890	10BBCHY-0521
3	32326633	10BBCHY-0526
3	32326634	10BBCHY-0527
3	32325378	10BBCHY-0529
3	32370827	10BBCHY-0530
3	32370828	10BBCHY-0531
3	32326637	10BBCHY-0534
3	32326638	10BBCHY-0535
3	32326639	10BBCHY-0536
3	32324755	10BBCHY-0539
3	32326641	10BBCHY-0540
3	32325251	10BBCHY-0548
3	32370922	10BBCHY-0549
3	32297168	10BBCHY-0550
3	32297169	10BBCHY-0551
3	32297330	10BBCHY-0557
