scientificName	unique_geo
Acmaeodera (Acmaeodera) pulchella (Herbst, 1801)	12
Acmaeodera (Acmaeodera) resplendens Van Dyke, 1937	1
Acmaeodera (Acmaeodera) retifera LeConte, 1859	1
Acmaeodera (Acmaeodera) rubronotata Laporte and Gory, 1835	1
Acmaeodera (Acmaeodera) scalaris Mannerheim, 1837	1
Acmaeodera (Acmaeodera) serena Fall, 1899	2
Acmaeodera (Acmaeodera) tubulus (Fabricius, 1801)	26
Acmaeodera (Acmaeodera) variegata LeConte, 1852	1
Acmaeodera (Squamodera) vanduzeei Van Dyke, 1934	1
Acmaeodera amabilis Horn	11
Acmaeodera amplicollis Lec	9
Acmaeodera amplicollis LeConte	4
Acmaeodera auritincta Fall	2
Acmaeodera bowditchi Fall	1
Acmaeodera chiricahuae	1
Acmaeodera convicta Fall	1
Acmaeodera cribicollis Horn	1
Acmaeodera daggetti Fall, 1899	1
Acmaeodera davidsoni Barr	1
Acmaeodera decipiens	1
Acmaeodera decipiens Lec	4
Acmaeodera decipiens LeConte	1
Acmaeodera delumbis Horn	4
Acmaeodera disjuncta Fall	5
Acmaeodera Eschscholtz, 1829	5
Acmaeodera flavomarginata (Gray)	1
Acmaeodera flavomarginata Gray	1
Acmaeodera flavopicta	1
Acmaeodera flavopicta Wat	1
Acmaeodera flavosticta Horn	1
Acmaeodera gibbula Lec	7
Acmaeodera gibbula LeConte	1
Acmaeodera hepburni LeConte	2
Acmaeodera immaculata Horn	1
Acmaeodera lucia Fall, 1901	1
Acmaeodera maculifera Horn	3
Acmaeodera mixta Horn	1
Acmaeodera mixta Lec	14
Acmaeodera mixta LeConte	3
Acmaeodera neglecta Fall	1
Acmaeodera neoneglecta Fisher	1
Acmaeodera pinalorum Knull	1
Acmaeodera pulchella	1
Acmaeodera pulchella (Herbst)	1
Acmaeodera pulchella Herbst	1
Acmaeodera quadrivitatoides Nelson & Westcott	1
Acmaeodera quadrivittata Horn	3
Acmaeodera recticollis Fall	1
Acmaeodera resplendens	2
Acmaeodera rubronotata L & G	5
Acmaeodera rubronotata Laporte and Gory	3
Acmaeodera scalaris	2
Acmaeodera scalaris Mann	3
Acmaeodera scalaris Mannerheim	5
Acmaeodera solitaria	2
Acmaeodera solitaria Kerremans	1
Acmaeodera sp.	5
Acmaeodera sphaeralceae Barr	2
Acmaeodera texana LeConte	1
Acmaeodera tubulus	12
Acmaeodera variegata Lec	1
Acmaeodera variegata LeConte	1
Acmaeoderoides stramineus Nelson, 1968	1
Acmaeoderopsis chisosensis Knull	1
Acmaeoderopsis guttifera (LeConte, 1859)	1
Acmaeoderopsis hassayampae (Knull, 1961)	1
Acmaeoderopsis hulli (Knull, 1928)	1
